ticker,company_name,question_id,question,evidence_strength,no_answer_flag,summary_answer
CNC,Centene Corporation,liquidity_risks,What are the main liquidity risks?,0.07693588334570492,False,Retrieved filing passages discuss md&a themes relevant to the question.
CNC,Centene Corporation,debt_obligations,What does management say about debt obligations?,0.054337242923759285,False,Retrieved filing passages discuss md&a themes relevant to the question.
CNC,Centene Corporation,margin_pressure,What risks could pressure margins?,0.04692837069894135,False,Retrieved filing passages discuss md&a themes relevant to the question.
CNC,Centene Corporation,capex_requirements,What capex or investment requirements are disclosed?,0.0,True,insufficient filing evidence found
CNC,Centene Corporation,competition,What does management say about competition?,0.07525614123083721,False,Retrieved filing passages discuss md&a themes relevant to the question.
CNC,Centene Corporation,regulatory_litigation,Are there regulatory or litigation risks?,0.0,True,insufficient filing evidence found
CNC,Centene Corporation,key_risk_factors,What are the key risk factors?,0.08131820736205703,False,Retrieved filing passages discuss md&a themes relevant to the question.
CNC,Centene Corporation,cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.1336220068732637,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
ZS,"Zscaler, Inc.",revenue_drivers,What are the company's main revenue drivers?,0.06831949309862091,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
ZS,"Zscaler, Inc.",customer_concentration,What does the company say about customer concentration?,0.055365063204007775,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
ZS,"Zscaler, Inc.",liquidity_risks,What are the main liquidity risks?,0.0,True,insufficient filing evidence found
ZS,"Zscaler, Inc.",debt_obligations,What does management say about debt obligations?,0.0,True,insufficient filing evidence found
ZS,"Zscaler, Inc.",margin_pressure,What risks could pressure margins?,0.0,True,insufficient filing evidence found
ZS,"Zscaler, Inc.",capex_requirements,What capex or investment requirements are disclosed?,0.07082017772843494,False,Retrieved filing passages discuss segment information themes relevant to the question.
ZS,"Zscaler, Inc.",competition,What does management say about competition?,0.0,True,insufficient filing evidence found
ZS,"Zscaler, Inc.",regulatory_litigation,Are there regulatory or litigation risks?,0.07842995388902813,False,Retrieved filing passages discuss segment information themes relevant to the question.
ZS,"Zscaler, Inc.",key_risk_factors,What are the key risk factors?,0.09184706473688714,False,Retrieved filing passages discuss md&a themes relevant to the question.
ZS,"Zscaler, Inc.",cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.07665726300293926,False,Retrieved filing passages discuss segment information themes relevant to the question.
LYV,"Live Nation Entertainment, Inc.",revenue_drivers,What are the company's main revenue drivers?,0.0,True,insufficient filing evidence found
LYV,"Live Nation Entertainment, Inc.",customer_concentration,What does the company say about customer concentration?,0.0,True,insufficient filing evidence found
LYV,"Live Nation Entertainment, Inc.",liquidity_risks,What are the main liquidity risks?,0.05237607866597957,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
LYV,"Live Nation Entertainment, Inc.",debt_obligations,What does management say about debt obligations?,0.0861722475258384,False,Retrieved filing passages discuss md&a themes relevant to the question.
LYV,"Live Nation Entertainment, Inc.",margin_pressure,What risks could pressure margins?,0.0,True,insufficient filing evidence found
LYV,"Live Nation Entertainment, Inc.",capex_requirements,What capex or investment requirements are disclosed?,0.0,True,insufficient filing evidence found
LYV,"Live Nation Entertainment, Inc.",competition,What does management say about competition?,0.07197339203862155,False,Retrieved filing passages discuss md&a themes relevant to the question.
LYV,"Live Nation Entertainment, Inc.",regulatory_litigation,Are there regulatory or litigation risks?,0.06233041315100162,False,Retrieved filing passages discuss md&a themes relevant to the question.
LYV,"Live Nation Entertainment, Inc.",key_risk_factors,What are the key risk factors?,0.0590804612140359,False,Retrieved filing passages discuss risk factors themes relevant to the question.
LYV,"Live Nation Entertainment, Inc.",cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.09044975273741906,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
IR,Ingersoll Rand Inc.,revenue_drivers,What are the company's main revenue drivers?,0.05328871411318743,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
IR,Ingersoll Rand Inc.,customer_concentration,What does the company say about customer concentration?,0.0,True,insufficient filing evidence found
IR,Ingersoll Rand Inc.,liquidity_risks,What are the main liquidity risks?,0.08825934399724922,False,Retrieved filing passages discuss md&a themes relevant to the question.
IR,Ingersoll Rand Inc.,debt_obligations,What does management say about debt obligations?,0.08396621306803573,False,Retrieved filing passages discuss md&a themes relevant to the question.
IR,Ingersoll Rand Inc.,margin_pressure,What risks could pressure margins?,0.057648472954436814,False,Retrieved filing passages discuss md&a themes relevant to the question.
IR,Ingersoll Rand Inc.,capex_requirements,What capex or investment requirements are disclosed?,0.04747957830866066,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
IR,Ingersoll Rand Inc.,competition,What does management say about competition?,0.0,True,insufficient filing evidence found
IR,Ingersoll Rand Inc.,regulatory_litigation,Are there regulatory or litigation risks?,0.050525163556743045,False,Retrieved filing passages discuss md&a themes relevant to the question.
IR,Ingersoll Rand Inc.,key_risk_factors,What are the key risk factors?,0.16283554324707583,False,Retrieved filing passages discuss md&a themes relevant to the question.
IR,Ingersoll Rand Inc.,cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.12640756148159146,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
